,wahlbezirk,wahlkreis,bezirk,bezirkname,ost_west,waehler_be,waehler,ungueltig,gueltig,cdu_p,spd_p,linke_p,gruene_p,afd_p,piraten_p,fdp_p
114,1504,105,1,Mitte,W,669,312,10,302,0.2086092715231788,0.17549668874172186,0.18874172185430466,0.10927152317880796,0.1357615894039735,0.019867549668874173,0.09271523178807947
115,1505,105,1,Mitte,W,960,437,10,427,0.14988290398126464,0.24824355971896955,0.18266978922716628,0.0702576112412178,0.14988290398126464,0.03981264637002342,0.05620608899297424
116,1506,105,1,Mitte,W,989,497,17,480,0.2520833333333333,0.2645833333333333,0.13541666666666666,0.06666666666666668,0.11458333333333333,0.0041666666666666675,0.11041666666666666
117,1507,105,1,Mitte,W,1490,759,30,729,0.2290809327846365,0.23182441700960216,0.1728395061728395,0.11659807956104253,0.12482853223593965,0.0027434842249657067,0.07681755829903979
118,1508,105,1,Mitte,W,1213,655,9,646,0.20278637770897834,0.23839009287925694,0.14241486068111456,0.1346749226006192,0.15015479876160992,0.0030959752321981426,0.05727554179566564
119,1509,105,1,Mitte,W,1132,537,8,529,0.2362948960302457,0.2570888468809074,0.12098298676748585,0.06994328922495274,0.1890359168241966,0.003780718336483932,0.054820415879017016
120,1510,105,1,Mitte,W,1057,546,16,530,0.21132075471698114,0.2037735849056604,0.1320754716981132,0.054716981132075466,0.22075471698113208,0.007547169811320755,0.0830188679245283
121,1511,105,1,Mitte,W,1122,499,15,484,0.14669421487603307,0.27479338842975204,0.121900826446281,0.05578512396694215,0.21487603305785125,0.016528925619834708,0.06818181818181818
122,1512,105,1,Mitte,W,1041,402,10,392,0.17346938775510204,0.1760204081632653,0.21173469387755106,0.13010204081632654,0.15816326530612246,0.012755102040816329,0.07653061224489796
123,1513,105,1,Mitte,W,1369,708,18,690,0.13478260869565215,0.1855072463768116,0.2565217391304348,0.1565217391304348,0.09420289855072464,0.010144927536231885,0.06811594202898551
124,1514,105,1,Mitte,W,1042,488,5,483,0.2028985507246377,0.19461697722567287,0.2153209109730849,0.11594202898550725,0.12215320910973085,0.006211180124223602,0.06211180124223601
125,1515,105,1,Mitte,W,1333,681,13,668,0.20359281437125748,0.2440119760479042,0.16167664670658682,0.12724550898203593,0.12275449101796408,0.010479041916167664,0.053892215568862284
126,1516,105,1,Mitte,W,986,462,13,449,0.1158129175946548,0.20935412026726055,0.2338530066815145,0.1247216035634744,0.1091314031180401,0.008908685968819599,0.0757238307349666
127,1517,105,1,Mitte,W,1374,599,9,590,0.19491525423728812,0.19661016949152546,0.1864406779661017,0.15254237288135594,0.12372881355932205,0.006779661016949152,0.06440677966101695
128,1518,105,1,Mitte,W,1307,562,12,550,0.1290909090909091,0.18727272727272729,0.3181818181818182,0.14909090909090908,0.07272727272727272,0.00909090909090909,0.054545454545454536
129,1519,105,1,Mitte,W,1325,675,10,665,0.13533834586466165,0.19699248120300752,0.2481203007518797,0.16691729323308271,0.09172932330827067,0.009022556390977444,0.055639097744360905
130,1520,105,1,Mitte,W,1387,673,13,660,0.12878787878787878,0.15151515151515152,0.3,0.20454545454545456,0.054545454545454536,0.019696969696969692,0.03484848484848485
131,1521,105,1,Mitte,W,1290,481,21,460,0.22826086956521735,0.3130434782608696,0.11739130434782608,0.06521739130434782,0.16304347826086954,0.004347826086956522,0.06521739130434782
132,1522,105,1,Mitte,W,896,426,12,414,0.21980676328502416,0.1932367149758454,0.17874396135265697,0.18115942028985507,0.0966183574879227,0.007246376811594203,0.050724637681159424
133,1523,105,1,Mitte,W,650,372,8,364,0.29945054945054944,0.3131868131868132,0.11263736263736265,0.06318681318681317,0.12637362637362634,0.005494505494505495,0.06593406593406594
134,1524,105,1,Mitte,W,864,411,2,409,0.18092909535452326,0.1687041564792176,0.18581907090464547,0.15647921760391198,0.1491442542787286,0.012224938875305624,0.06845965770171149
135,1525,105,1,Mitte,W,866,430,5,425,0.11529411764705882,0.19294117647058825,0.3011764705882353,0.20705882352941174,0.08705882352941176,0.004705882352941176,0.04470588235294118
136,1526,105,1,Mitte,W,1500,711,18,693,0.1038961038961039,0.1645021645021645,0.2943722943722944,0.21212121212121213,0.06926406926406926,0.004329004329004329,0.04906204906204906
137,1600,106,1,Mitte,W,1469,628,18,610,0.1180327868852459,0.19344262295081968,0.30327868852459017,0.13934426229508196,0.08852459016393442,0.018032786885245903,0.03770491803278689
138,1601,106,1,Mitte,W,797,424,13,411,0.1678832116788321,0.19464720194647206,0.2335766423357664,0.1021897810218978,0.1386861313868613,0.024330900243309004,0.051094890510948905
139,1602,106,1,Mitte,W,1050,582,12,570,0.1280701754385965,0.17192982456140352,0.25263157894736843,0.18771929824561406,0.11403508771929825,0.005263157894736842,0.06140350877192983
140,1603,106,1,Mitte,W,924,439,10,429,0.1048951048951049,0.18414918414918416,0.28904428904428897,0.17016317016317015,0.08158508158508157,0.011655011655011656,0.037296037296037296
141,1604,106,1,Mitte,W,854,357,10,347,0.12968299711815562,0.20461095100864554,0.2219020172910663,0.11239193083573487,0.12680115273775214,0.023054755043227664,0.07780979827089338
142,1605,106,1,Mitte,W,1094,498,9,489,0.1820040899795501,0.1983640081799591,0.2167689161554192,0.12678936605316973,0.12474437627811863,0.014314928425357872,0.061349693251533735
143,1606,106,1,Mitte,W,838,405,14,391,0.1534526854219949,0.17391304347826084,0.2378516624040921,0.17391304347826084,0.1381074168797954,0.010230179028132991,0.030690537084398974
144,1607,106,1,Mitte,W,864,305,4,301,0.08637873754152824,0.14950166112956811,0.3455149501661129,0.10299003322259136,0.09966777408637874,0.02325581395348837,0.019933554817275743
145,1608,106,1,Mitte,W,1024,432,11,421,0.10451306413301664,0.1971496437054632,0.323040380047506,0.15201900237529692,0.05938242280285035,0.0332541567695962,0.04513064133016627
146,1609,106,1,Mitte,W,1100,557,6,551,0.11433756805807622,0.21960072595281308,0.29945553539019965,0.12704174228675136,0.05807622504537205,0.014519056261343012,0.03448275862068965
147,1610,106,1,Mitte,W,1126,525,8,517,0.13733075435203096,0.15667311411992266,0.3017408123791103,0.16827852998065765,0.08897485493230174,0.019342359767891684,0.029013539651837526
148,1611,106,1,Mitte,W,1371,666,15,651,0.13517665130568354,0.19815668202764974,0.2626728110599078,0.1443932411674347,0.07219662058371737,0.01996927803379416,0.06605222734254992
149,1612,106,1,Mitte,W,984,444,6,438,0.0958904109589041,0.1917808219178082,0.3264840182648402,0.17123287671232876,0.05707762557077625,0.0228310502283105,0.03881278538812785
150,1613,106,1,Mitte,W,1444,689,14,675,0.11851851851851852,0.1688888888888889,0.27111111111111114,0.17777777777777778,0.0725925925925926,0.02074074074074074,0.060740740740740734
151,1614,106,1,Mitte,W,1189,619,12,607,0.1630971993410214,0.199341021416804,0.2388797364085667,0.1070840197693575,0.13344316309719936,0.016474464579901153,0.07907742998352553
152,1615,106,1,Mitte,W,913,397,12,385,0.14805194805194805,0.2077922077922078,0.23896103896103896,0.14285714285714285,0.1012987012987013,0.023376623376623374,0.03896103896103896
153,1616,106,1,Mitte,W,1135,542,4,538,0.10408921933085502,0.15427509293680294,0.3271375464684015,0.19516728624535315,0.05390334572490706,0.01486988847583643,0.035315985130111534
154,1617,106,1,Mitte,W,1038,495,9,486,0.09053497942386833,0.20781893004115226,0.28189300411522633,0.18724279835390947,0.07407407407407407,0.012345679012345678,0.04938271604938271
